objectid,cl,logradouro,codbairro,bairro,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação
1290790,106179,RUA RUGENDAS,115,Jacarepaguá               ,2,TERRITORIAL,12.5,715,27895.425,223163.4,COMPRA E VENDA,2024
1290791,021337,RUA ANDRE ROCHA,122,Taquara                   ,2,TERRITORIAL,100,414,278239.49,278239.49,COMPRA E VENDA,2024
1290792,036954,ETR DO RIO GRANDE,122,Taquara                   ,2,TERRITORIAL,100,366.5,254774.535,254774.535,COMPRA E VENDA,2024
1290793,009464,AVN RODOLFO AMOEDO,128,Barra da Tijuca           ,2,TERRITORIAL,100,525,5084000,5084000,COMPRA E VENDA,2024
1290794,031765,ETR MORRO CAVADO,151,Guaratiba                 ,2,TERRITORIAL,0.495,26600,9810.175,2163603.11,COMPRA E VENDA,2023
1290795,125724,RUA 36 PAA 6172/PAL 18529,151,Guaratiba                 ,2,TERRITORIAL,100,306.5,72223.24,72223.24,COMPRA E VENDA,2023
1290796,126672,RUA BIDU SAYAO (CANTORA LIRICA),151,Guaratiba                 ,3,TERRITORIAL,100,300,53275.56,53275.56,COMPRA E VENDA,2023
1290797,225391,RUA FRANCISCO MIGNONE,151,Guaratiba                 ,10,TERRITORIAL,100,351,49704.348,49704.348,COMPRA E VENDA,2023
1290798,497388,RUA PROF ANTONIO JOSE AUGUSTO,151,Guaratiba                 ,6,TERRITORIAL,91.666666,257,40799.496666,44108.893333,COMPRA E VENDA,2023
1290799,106641,RUA DES NARCELIO DE QUEIROZ,159,Parque Colúmbia           ,2,TERRITORIAL,100,360,58374.21,58374.21,COMPRA E VENDA,2023
1290800,060277,AVN BEIRA MAR,005,Centro                    ,2,TERRITORIAL,100,357,56295713.325,56295713.325,COMPRA E VENDA,2024
1290801,066381,RUA BARAO DE MESQUITA,033,Tijuca                    ,2,TERRITORIAL,100,282,1293499.98,1293499.98,COMPRA E VENDA,2024
1290802,011684,RUA ANTONIETA,088,Osvaldo Cruz              ,2,TERRITORIAL,100,729,187186.995,187186.995,COMPRA E VENDA,2024
1290803,211813,RUA OVIDIO DA CUNHA,114,Pavuna                    ,2,TERRITORIAL,100,125,28575.505,28575.505,COMPRA E VENDA,2024
